id,display_title,main_artist,song_title,music8_artist_slug,music8_song_slug,spotify_artists,slug_candidates
6b812666-cd84-43b4-9485-dfb85502aa4c,Freddie Gibbs - Off Road,Freddie Gibbs,Off Road,freddie-gibbs,off-road,"Rory, Masego, Freddie Gibbs",freddie-gibbs/off-road; rory/off-road; masego/off-road
c0cb777c-cb99-43a8-bf2c-0a96943bbecd,Frédéric Lo - You Can't Keep It From Me Forever,Frédéric Lo,You Can't Keep It From Me Forever,frederic-lo,you-cant-keep-it-from-me-forever,"PeterDoherty,Fr?d?ricLo",frederic-lo/you-cant-keep-it-from-me-forever; peterdoherty/you-cant-keep-it-from-me-forever
07155cc7-42f9-41bb-8ca6-07a59ace9748,Future - South Of France,Future,South Of France,future,south-of-france,"フューチャー, トラヴィス・スコット",future/south-of-france
9620a38a-10e4-44bb-be48-fc9de62c165e,Gesaffelstein - Conquistador,Gesaffelstein,Conquistador,gesaffelstein,conquistador,"Jean-Michel Jarre, Gesaffelstein",gesaffelstein/conquistador; jean-michel-jarre/conquistador
ae741120-d3a8-4936-89f4-88a42b1dfc31,"girlfriends - 5,6,7,8",girlfriends,"5,6,7,8",girlfriends,5678,"LØLØ, girlfriends",girlfriends/5678; l-l/5678
db18b8e5-aa28-480d-9587-3014aa857bdd,Goody Grace - Rest In Pieces,Goody Grace,Rest In Pieces,goody-grace,rest-in-pieces,"KelsyKarter&TheHeroines,GoodyGrace",goody-grace/rest-in-pieces; kelsykarter-theheroines/rest-in-pieces
1c2d237f-505f-4daa-a108-2b12a24ada8a,Gotye - Somebody That I Used To Know,Gotye,Somebody That I Used To Know,,,"Gotye, Kimbra",gotye/somebody-that-1-used-to-know; kimbra/somebody-that-1-used-to-know
44fceacb-d1fe-4920-827e-94341e6e35c7,Grimes - Entwined,Grimes,Entwined,grimes,entwined-2,"Sub Focus, Grimes",grimes/entwined-2; sub-focus/entwined-2
b2b61990-7da8-4500-aab7-a0a11fec94d4,Hayla - Another World,Hayla,Another World,hayla,another-world-2,"MEDUZA, HAYLA, Kevin de Vries, SLVR",hayla/another-world-2; meduza/another-world-2; kevin-de-vries/another-world-2; slvr/another-world-2
052b69d3-68e9-4444-af61-fdbd464fbec4,Herb Alpert - Diamonds Hd,Herb Alpert,Diamonds Hd,,,"Herb Alpert, Janet Jackson",herb-alpert/diamonds-hd; janet-jackson/diamonds-hd
